"","ad_a1","ad_a3","hc_a2","hc_a4"
"oligodendrocytes",1525,551,226,2570
"excitatory neurons",818,952,910,966
"inhibitory neurons",185,500,1191,994
"Microglia",1329,150,31,1013
"Astrocytes",305,435,462,497
"Fibroblasts",522,40,56,997
"striatal medium spiny neurons",74,351,615,332
"vascular endothelial cells",471,124,150,170
"hippocampal neurons",36,93,166,354
"cortical layer-specific neurons",14,149,330,69
"neuronal-glial hybrid",33,13,10,107
"cerebellar neurons",29,8,1,125
"perivascular macrophages",50,1,0,71
